LOCATION,DAY,DATE,TIME_WIB,TDS_PPM,TEMP_RIVER_C,TEMP_AIR_C
Pondok_Hijau_Indah,Tue,8/21/17,12:00,85,21,29
Pondok_Hijau_Indah,Tue,8/21/17,14:00,91,22,30
Pondok_Hijau_Indah,Tue,8/21/17,16:00,83,22,25
Pondok_Hijau_Indah,Wed,8/22/17,10:00,84,19,20
Pondok_Hijau_Indah,Wed,8/22/17,12:00,83,23,28
Pondok_Hijau_Indah,Wed,8/22/17,14:00,93,25,33
Pondok_Hijau_Indah,Wed,8/22/17,16:00,80,21,26
Pondok_Hijau_Indah,Thu,8/23/17,10:00,83,19,25
Pondok_Hijau_Indah,Thu,8/23/17,12:00,80,23,27
Pondok_Hijau_Indah,Thu,8/23/17,14:00,95,23,28
Pondok_Hijau_Indah,Thu,8/23/17,16:00,95,23,29
Pondok_Hijau_Indah,Fri,8/24/17,10:00,113,20,25
Pondok_Hijau_Indah,Fri,8/24/17,12:00,110,18,30
Pondok_Hijau_Indah,Fri,8/24/17,14:00,117,21,31
Pondok_Hijau_Indah,Fri,8/24/17,16:00,115,22,27
Pondok_Hijau_Indah,Sat,8/25/17,10:00,103,16,24
Pondok_Hijau_Indah,Sat,8/25/17,12:00,104,23,29
Pondok_Hijau_Indah,Sat,8/25/17,14:00,113,23,32
Pondok_Hijau_Indah,Sat,8/25/17,16:00,109,19,30
Pondok_Hijau_Indah,Sun,8/26/17,10:00,93,18,22
Pondok_Hijau_Indah,Sun,8/26/17,12:00,90,18,25
Pondok_Hijau_Indah,Sun,8/26/17,14:00,99,23,34
Pondok_Hijau_Indah,Sun,8/26/17,16:00,95,21,25
Pondok_Hijau_Indah,Mon,9/3/17,10:00,87,18,20
Pondok_Hijau_Indah,Mon,9/3/17,12:00,98,19,25
Pondok_Hijau_Indah,Mon,9/3/17,14:00,85,25,34
Pondok_Hijau_Indah,Mon,9/3/17,16:00,82,19,30
Pondok_Hijau_Indah,Tue,9/4/17,10:00,97,16,23
Pondok_Hijau_Indah,Tue,9/4/17,12:00,95,20,25
Pondok_Hijau_Indah,Tue,9/4/17,14:00,83,23,34
Pondok_Hijau_Indah,Tue,9/4/17,16:00,95,22,28
Pondok_Hijau_Indah,Wed,9/5/17,10:00,83,18,24
Pondok_Hijau_Indah,Wed,9/5/17,12:00,88,23,28
Pondok_Hijau_Indah,Wed,9/5/17,14:00,83,23,28
Pondok_Hijau_Indah,Wed,9/5/17,16:00,95,19,27
Pondok_Hijau_Indah,Thu,9/6/17,10:00,95,18,27
Pondok_Hijau_Indah,Thu,9/6/17,12:00,99,19,28
Pondok_Hijau_Indah,Thu,9/6/17,14:00,95,25,30
Pondok_Hijau_Indah,Thu,9/6/17,16:00,84,23,27
Pondok_Hijau_Indah,Fri,9/7/17,10:00,118,20,26
Pondok_Hijau_Indah,Fri,9/7/17,12:00,115,21,28
Pondok_Hijau_Indah,Fri,9/7/17,14:00,117,22,31
Pondok_Hijau_Indah,Fri,9/7/17,16:00,93,19,26
Pondok_Hijau_Indah,Sat,9/8/17,10:00,105,16,25
Pondok_Hijau_Indah,Sat,9/8/17,12:00,116,21,30
Pondok_Hijau_Indah,Sat,9/8/17,14:00,119,23,30
Pondok_Hijau_Indah,Sat,9/8/17,16:00,107,18,26
Pondok_Hijau_Indah,Sun,9/9/17,10:00,99,15,24
Pondok_Hijau_Indah,Sun,9/9/17,12:00,112,22,26
Pondok_Hijau_Indah,Sun,9/9/17,14:00,114,24,34
Pondok_Hijau_Indah,Sun,9/9/17,16:00,104,21,27
Pondok_Hijau_Indah,Mon,9/17/17,10:00,89,17,22
Pondok_Hijau_Indah,Mon,9/17/17,12:00,95,18,25
Pondok_Hijau_Indah,Mon,9/17/17,14:00,97,24,29
Pondok_Hijau_Indah,Mon,9/17/17,16:00,97,20,30
Pondok_Hijau_Indah,Tue,9/18/17,10:00,82,20,22
Pondok_Hijau_Indah,Tue,9/18/17,12:00,82,20,26
Pondok_Hijau_Indah,Tue,9/18/17,14:00,81,25,31
Pondok_Hijau_Indah,Tue,9/18/17,16:00,94,18,30
Pondok_Hijau_Indah,Wed,9/19/17,10:00,95,19,26
Pondok_Hijau_Indah,Wed,9/19/17,12:00,99,23,28
Pondok_Hijau_Indah,Wed,9/19/17,14:00,89,23,30
Pondok_Hijau_Indah,Wed,9/19/17,16:00,92,23,27
Pondok_Hijau_Indah,Thu,9/20/17,10:00,96,16,23
Pondok_Hijau_Indah,Thu,9/20/17,12:00,87,21,26
Pondok_Hijau_Indah,Thu,9/20/17,14:00,89,20,28
Pondok_Hijau_Indah,Thu,9/20/17,16:00,93,20,29
Pondok_Hijau_Indah,Fri,9/21/17,10:00,100,19,24
Pondok_Hijau_Indah,Fri,9/21/17,12:00,94,22,30
Pondok_Hijau_Indah,Fri,9/21/17,14:00,120,22,28
Pondok_Hijau_Indah,Fri,9/21/17,16:00,94,23,28
